Module,Delay (cycles),Power (mW),Area (um^2),Source,Node (nm),Number,Note
Query Buffer,1,1.54,3750,synthesis,65,1,
Key SRAM,1,28.4,27728.6,cacti,40,1,
BA-CAM 64X64,1,100.8,13516.8,spice,65,1,
6b ADCs,2,0.95,4000,paper,40,16,64000
Fixed Scalers,2,0.047,126.72,synthesis,65,16,"shifter+ scaler, timing weird with synthesis. assuming delay of 2 cycles"
Top2,2,11.660375,13335.36014,synthesis,65,1,"16->4, using comb area/power from fully pipelined design and assuming one shared register (no pipelining)"
Ptop Reg,1,2.93,9155,synthesis,65,1,64B
Top32,6,99.81453333,101540.8019,synthesis,65,1,"64->32, using comb area/power from fully pipelined design and assuming one shared register (no pipelining)"
SoftMax LUT,1,1.418,1612.373532,cacti,40,1,
SoftMax Div.,3,0.07109,441.529,paper,45,1,
SoftMax Acc.,1,2.141,4363,paper,65,1,"using mac numbers as pessimistic, single stage"
Output Buff,1,2.98,9077,synthesis,65,1,
Value SRAM,1,34.7,44820,cacti,40,1,
BF16 MACs,4,2.141,4363,paper,65,8,
DRAM,24,12.42666667,0,paper,45,1,Power value is Energy in nJ * size of mem access divided by cycles
