model,layer,m,n,k,dv
bert-base-squad-v2,1,512,512,768,768
bert-base-squad-v2,2,512,512,768,768
bert-base-squad-v2,3,512,512,768,768
bert-base-squad-v2,4,512,512,768,768
bert-base-squad-v2,5,512,512,768,768
bert-base-squad-v2,6,512,512,768,768
bert-base-squad-v2,7,512,512,768,768
bert-base-squad-v2,8,512,512,768,768
bert-base-squad-v2,9,512,512,768,768
bert-base-squad-v2,10,512,512,768,768
bert-base-squad-v2,11,512,512,768,768
bert-base-squad-v2,12,512,512,768,768
bert-large-squad-v2,1,512,512,1024,1024
bert-large-squad-v2,2,512,512,1024,1024
bert-large-squad-v2,3,512,512,1024,1024
bert-large-squad-v2,4,512,512,1024,1024
bert-large-squad-v2,5,512,512,1024,1024
bert-large-squad-v2,6,512,512,1024,1024
bert-large-squad-v2,7,512,512,1024,1024
bert-large-squad-v2,8,512,512,1024,1024
bert-large-squad-v2,9,512,512,1024,1024
bert-large-squad-v2,10,512,512,1024,1024
bert-large-squad-v2,11,512,512,1024,1024
bert-large-squad-v2,12,512,512,1024,1024
bert-large-squad-v2,13,512,512,1024,1024
bert-large-squad-v2,14,512,512,1024,1024
bert-large-squad-v2,15,512,512,1024,1024
bert-large-squad-v2,16,512,512,1024,1024
bert-large-squad-v2,17,512,512,1024,1024
bert-large-squad-v2,18,512,512,1024,1024
bert-large-squad-v2,19,512,512,1024,1024
bert-large-squad-v2,20,512,512,1024,1024
bert-large-squad-v2,21,512,512,1024,1024
bert-large-squad-v2,22,512,512,1024,1024
bert-large-squad-v2,23,512,512,1024,1024
bert-large-squad-v2,24,512,512,1024,1024
bert-base-cola,1,512,512,768,768
bert-base-cola,2,512,512,768,768
bert-base-cola,3,512,512,768,768
bert-base-cola,4,512,512,768,768
bert-base-cola,5,512,512,768,768
bert-base-cola,6,512,512,768,768
bert-base-cola,7,512,512,768,768
bert-base-cola,8,512,512,768,768
bert-base-cola,9,512,512,768,768
bert-base-cola,10,512,512,768,768
bert-base-cola,11,512,512,768,768
bert-base-cola,12,512,512,768,768
bert-base-mnli-mm,1,512,512,768,768
bert-base-mnli-mm,2,512,512,768,768
bert-base-mnli-mm,3,512,512,768,768
bert-base-mnli-mm,4,512,512,768,768
bert-base-mnli-mm,5,512,512,768,768
bert-base-mnli-mm,6,512,512,768,768
bert-base-mnli-mm,7,512,512,768,768
bert-base-mnli-mm,8,512,512,768,768
bert-base-mnli-mm,9,512,512,768,768
bert-base-mnli-mm,10,512,512,768,768
bert-base-mnli-mm,11,512,512,768,768
bert-base-mnli-mm,12,512,512,768,768
bert-base-mnli-m,1,512,512,768,768
bert-base-mnli-m,2,512,512,768,768
bert-base-mnli-m,3,512,512,768,768
bert-base-mnli-m,4,512,512,768,768
bert-base-mnli-m,5,512,512,768,768
bert-base-mnli-m,6,512,512,768,768
bert-base-mnli-m,7,512,512,768,768
bert-base-mnli-m,8,512,512,768,768
bert-base-mnli-m,9,512,512,768,768
